,0
650,8003979000462
651,3760014294556
652,8003979003777
653,3760172956211
654,3269710389288
655,3760172954491
656,7501017005918
657,7501017005956
658,7501017005949
659,3269710288604
660,3760077534330
661,8005360001096
662,3183811010103
663,8013945930211
664,3760084451125
665,8003979000349
666,3760014294617
667,8059070741582
668,3183811010837
669,3183811010134
670,8032817244478
671,3183811010158
672,3234750028046
673,3700463718043
674,3760014294549
675,8059070741544
676,8003979003722
677,3760014294587
678,8003979003852
679,3760153840140
680,8003979000424
681,3144550005157
682,0000080409700
683,3424150010165
684,8032584372015
685,8032680410178
686,3424150010585
687,3337730004082
688,3512680000029
689,3512680000371
690,8005360001522
691,8002960502206
692,3017239003983
693,3017239003976
694,3760014294785
695,3662902000075
696,3760014294532
697,3760072490235
698,3770002165256
699,3760014294693
700,8032505411021
701,8001770061033
702,8001770060906
703,3760014294709
704,8008745021771
705,3760172955283
706,8001010024330
707,0000080280651
708,8032615270440
709,3446000004018
710,8003979002091
711,3760014294525
712,8013945930372
713,3700463718029
714,3302768000443
715,3760275810564
716,8008745020316
717,8005360001539
718,8001770060999
719,8001770060982
720,9002859071409
721,0000080280842
722,3760172956198
723,8000219000299
724,8015559001103
725,3337730000510
726,3183810008002
727,8032817244584
728,8003395010656
729,8008745021610
730,8002170126001
731,8004501020927
732,8017245001077
733,8006165371940
734,3760172953982
735,8008745014414
736,8001010033721
737,8001010086550
738,3466090081607
739,4027900217211
740,8007504222152
741,8007504222107
742,8007504222008
743,7290005938016
744,0000080300519
745,0000080300526
746,8013945930105
747,0000080729303
748,3760014294518
749,8028278000296
750,3183811010202
751,8032680410109
752,3760275810557
753,3572170385043
754,8007290521552
755,0000080024347
756,8001770060890
757,0838948001670
758,0000080280835
759,8008745020293
760,3760172956181
761,8032589960132
762,8032589960217
763,3466090080082
764,3518320001500
765,3271514190052
766,3251870001346
767,8031183000343
768,0000080612605
769,3251870001322
770,8005360001164
771,8002960100327
772,3662902000020
773,8002960020441
774,8076809525220
775,8076809528689
776,8076809574150
777,8076809574143
778,8076809525244
779,8076809513678
780,8076809513326
781,8076809541671
782,8076809544900
783,3602820040739
784,8076809572255
785,8076809546362
786,8076809535878
787,8076809536295
788,8076809546348
789,8076809546355
790,8076809572552
791,8076809572996
792,8076809523660
793,8076809513388
794,0807680951338
795,8076809536851
796,3602820039245
797,8076809523653
798,8076809513456
799,8076809513722
800,8076809513739
801,8076809536868
802,8076809573313
803,3602820042436
804,8076809513692
805,8076809513395
806,8076809523677
807,8076809513715
808,8076809513449
809,8076809536844
810,3602820037913
811,8076809523578
812,8076809523561
813,8076809543934
814,8076809544825
815,8076809573306
816,8076809541121
817,8076809521543
818,8076809570596
819,8076809574532
820,8076809521529
821,8076809536622
822,8076809535755
823,8076809536875
824,8076809530668
825,8076809531528
826,8076809545921
827,8076809535762
828,8076809542968
829,8076809545396
830,8076809546676
831,8076809517881
832,8076809540087
833,8076809541107
834,8076809517751
835,8076809523547
836,8076809538008
837,8076809568067
838,8076809576598
839,8076809568074
840,8076809576581
841,8076809576574
842,8076809568050
843,8076809541091
844,8076809572569
845,8076809545938
846,8076809513746
847,8076809513753
848,8076809537995
849,8076809543088
850,8076809513418
851,3229820794464
852,3229820790763
853,3229820790770
854,3033710043934
855,3033710068746
856,3033710068524
857,3033710068623
858,3051030036177
859,3051030038249
860,3051030004992
861,3051030036153
862,3051030037587
863,3051030037570
864,3051030036160
865,8001440124204
866,8001440124150
867,8001440124181
868,8001440128318
869,8001440124167
870,8001440128325
871,8001440129056
872,8001250219114
873,8001250129116
874,8001250909114
