,Unnamed: 0,index,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT,I_ITEM,I_CATEGORY,I_Ventes_Volume_2018,I_Ventes_Volume_2019
0,0,1542,3760052155536,AUT_MQ,AUT_MQ | SCE_CLAS | CITRON_VERT_PIMENT_DOUX | AUT_EMB | NON_BIO,SCE_CLAS,CITRON_VERT_PIMENT_DOUX,NON_BIO,PF,100,AUT_EMB,1CT,STD,35.1,1563.3000000000006,3760052155536,AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CITRON_VERT_PIMENT_DOUX_1CT_100G_*_NON_BIO,1542,AUT_SCE,1,,,0.0,0.0
902,902,2508,3760077530011,FLORELLI,FLORELLI | LEGUMES | AUBER_BASI | POT | NON_BIO,LEGUMES,AUBER_BASI,NON_BIO,PF,290,POT,1CT,STD,35039.700000000004,53087.2,3760077530011,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_AUBER_BASI_1CT_290G_*_NON_BIO,2508,SAUCES_POUR_FECULENTS,1,3760077530011,AUBERGINES,7689.5,5276.900000000001
903,903,2509,3760077533609,FLORELLI,FLORELLI | LEGUMES | AUBER_RICO | POT | NON_BIO,LEGUMES,AUBER_RICO,NON_BIO,PF,250,POT,1CT,STD,50693.3,42013.8,3760077533609,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_AUBER_RICO_1CT_250G_*_NON_BIO,2509,SAUCES_POUR_FECULENTS,1,3760077533609,FROMAGE,3554.1000000000004,4496.3
904,904,2510,3760077530684,FLORELLI,FLORELLI | LEGUMES | AUBER_RICO | POT | NON_BIO,LEGUMES,AUBER_RICO,NON_BIO,PF,290,POT,1CT,STD,34755.3,51441.2,3760077530684,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_AUBER_RICO_1CT_290G_*_NON_BIO,2510,SAUCES_POUR_FECULENTS,1,3760077530684,FROMAGE,7215.599999999999,4703.299999999999
905,905,2511,3760077537164,FLORELLI,FLORELLI | LEGUMES | BASILIC | POT | NON_BIO,LEGUMES,BASILIC,NON_BIO,PF,250,POT,1CT,STD,5225.1,0.0,3760077537164,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_BASILIC_1CT_250G_*_NON_BIO,2511,SAUCES_POUR_FECULENTS,1,3760077537164,BASILIC,0.0,493.50000000000006
906,906,2512,3760077530042,FLORELLI,FLORELLI | LEGUMES | BASILIC | POT | NON_BIO,LEGUMES,BASILIC,NON_BIO,PF,290,POT,1CT,STD,54946.49999999999,86127.7,3760077530042,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_BASILIC_1CT_290G_*_NON_BIO,2512,SAUCES_POUR_FECULENTS,1,3760077530042,BASILIC,13994.2,8764.300000000001
907,907,2513,3760077530028,FLORELLI,FLORELLI | LEGUMES | CAPRE_OLIV | POT | NON_BIO,LEGUMES,CAPRE_OLIV,NON_BIO,PF,290,POT,1CT,STD,6.5,147.4,3760077530028,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_CAPRE_OLIV_1CT_290G_*_NON_BIO,2513,SAUCES_POUR_FECULENTS,1,3760077530028,OLIVES,18.599999999999998,0.8999999999999999
908,908,2514,3760077533647,FLORELLI,FLORELLI | LEGUMES | CEPE | POT | NON_BIO,LEGUMES,CEPE,NON_BIO,PF,250,POT,1CT,STD,65324.8,66001.5,3760077533647,SAUCES_POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_CEPE_1CT_250G_*_NON_BIO,2514,SAUCES_POUR_FECULENTS,1,3760077533647,CHAMPIGNONS,5852.900000000001,5925.3
909,909,2515,3760077530080,FLORELLI,FLORELLI | LEGUMES | CHAMPIGNON | POT | NON_BIO,LEGUMES,CHAMPIGNON,NON_BIO,PF,290,POT,1CT,STD,0.0,59.0,3760077530080,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_CHAMPIGNON_1CT_290G_*_NON_BIO,2515,SAUCES_POUR_FECULENTS,1,3760077530080,CHAMPIGNONS,8.5,0.0
910,910,2516,3760077533661,FLORELLI,FLORELLI | LEGUMES | GORGONZOLA_&_OIGNON | POT | NON_BIO,LEGUMES,GORGONZOLA_&_OIGNON,NON_BIO,PF,250,POT,1CT,STD,39358.2,33989.5,3760077533661,FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_GORGONZOLA_&_OIGNON_1CT_250G_*_NON_BIO,2516,SAUCES_POUR_FECULENTS,1,3760077533661,POMODORO,3002.9,3531.8
911,911,2517,3760077533616,FLORELLI,FLORELLI | LEGUMES | LEG_GRILLE | POT | NON_BIO,LEGUMES,LEG_GRILLE,NON_BIO,PF,250,POT,1CT,STD,4157.8,11328.3,3760077533616,POUR_FECULENTS_POT_AUT_FAB_FLORELLI_LEGUMES_PF_LEG_GRILLE_1CT_250G_*_NON_BIO,2517,SAUCES_POUR_FECULENTS,1,3760077533616,LEGUMES,1200.7,405.2
