,CATEGORY,MKT_SEGMENT,KPI,EAN13_num,MARQUE,RECETTES,ORGANIC,WEIGHT_num,EMBALLAGE,GAMME,FORMAT,COMPTE,STD/PROMO,ITEM,CAM AN-1,DERNIER CAM,4 S 28/01/18,4 S 25/02/18,4 S 25/03/18,4 S 22/04/18,4 S 20/05/18,4 S 17/06/18,4 S 15/07/18,4 S 12/08/18,4 S 09/09/18,4 S 07/10/18,4 S 04/11/18,4 S 02/12/18,4 S 30/12/18,4 S 27/01/19,4 S 24/02/19,4 S 24/03/19,4 S 21/04/19,4 S 19/05/19,4 S 16/06/19,4 S 14/07/19,4 S 11/08/19,4 S 08/09/19,4 S 06/10/19,4 S 03/11/19,4 S 01/12/19,4 S 29/12/19,EAN13,WEIGHT,NIELSEN_DESCRIPTION,INITIAL_INDEX
693,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3017239003983,AUT MQ,OLIVES FACON PESTO ROSSO,0,190,POT,PESTO,PF,1CT,STD,3017239003983,2786.6000000000013,12.5,441.8,391.8,379.8,357.0,290.3,288.8,205.6,191.7,167.8,34.2,13.7,17.3,6.8,3.0,2.7,0.9,2.3,1.5,0.4,0.9,0.6,0.2,0.0,0.0,0.0,0.0,3017239003983.0,190.0,POT AUT FAB AUT MQ PESTO PF OLIVES FACON PESTO ROSSO 1CT 190G * NON BIO,762
694,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3017239003976,AUT MQ,OLIVES FACON PESTO VERT,0,180,POT,PESTO,PF,1CT,STD,3017239003976,2781.7,12.9,392.6,342.2,361.8,393.1,324.5,320.6,236.7,199.4,150.7,28.3,14.4,11.5,5.9,4.0,2.0,2.5,1.3,1.6,0.2,0.5,0.0,0.2,0.2,0.0,0.4,0.0,3017239003976.0,180.0,FECULENTS POT AUT FAB AUT MQ PESTO PF OLIVES FACON PESTO VERT 1CT 180G * NON BIO,763
695,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760014294785,AUT MQ,PEST ARTIC,0,180,POT,PESTO,PF,1CT,STD,3760014294785,402.6,841.8000000000003,24.3,27.5,36.7,26.5,28.3,32.8,37.4,37.6,38.7,30.6,28.4,25.2,28.6,24.1,20.7,29.7,27.5,26.9,25.4,43.1,82.1,113.2,129.1,101.2,99.1,119.7,3760014294785.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PEST ARTIC 1CT 180G * NON BIO,764
696,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3662902000075,AUT MQ,PEST BASIL PARM,0,135,POT,PESTO,PF,1CT,STD,3662902000075,12.700000000000005,2.6,0.9,0.9,0.4,0.3,1.6,0.8,0.9,0.4,1.1,1.4,0.9,2.0,1.1,0.9,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3662902000075.0,135.0,POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PEST BASIL PARM 1CT 135G * NON BIO,765
697,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760014294532,AUT MQ,PESTO A LA TRUFFE,0,180,POT,PESTO,PF,1CT,STD,3760014294532,1529.1,2388.7,103.1,107.3,115.7,114.8,117.8,116.6,118.6,128.0,123.1,122.3,102.3,116.6,142.9,103.5,105.1,118.1,128.2,131.3,163.7,208.9,248.5,274.6,238.9,197.5,211.2,259.2,3760014294532.0,180.0,POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO A LA TRUFFE 1CT 180G * NON BIO,766
698,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760072490235,AUT MQ,PESTO AIL OURS,0,180,POT,PESTO,PF,1CT,STD,3760072490235,143.5,155.50000000000003,0.0,0.0,0.0,0.0,0.0,9.5,18.4,35.3,26.8,13.9,13.0,6.8,19.8,10.1,10.8,12.8,10.4,6.1,13.7,17.8,14.9,17.1,12.6,8.1,8.3,12.8,3760072490235.0,180.0,POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO AIL OURS 1CT 180G * NON BIO,767
699,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3770002165256,AUT MQ,PESTO AU BASILIC DE GENES AOP,0,180,POT,PESTO,PF,1CT,STD,3770002165256,1222.3000000000004,1154.8,93.4,91.4,95.0,96.1,102.2,121.9,99.7,100.4,98.1,90.2,77.5,65.5,90.9,80.1,64.4,82.3,84.4,91.2,91.5,108.4,129.2,111.7,87.5,73.8,64.8,85.5,3770002165256.0,180.0,POT AUT FAB AUT MQ PESTO PF PESTO AU BASILIC DE GENES AOP 1CT 180G * NON BIO,768
700,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760014294693,AUT MQ,PESTO BALSAMIQUE,0,180,POT,PESTO,PF,1CT,STD,3760014294693,498.4,362.8,35.3,38.7,43.6,38.7,46.8,40.3,41.8,40.1,37.8,30.3,28.5,30.6,45.9,28.8,32.6,31.5,34.9,28.6,38.9,30.2,28.6,25.8,23.4,18.4,19.5,21.6,3760014294693.0,180.0,POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO BALSAMIQUE 1CT 180G * NON BIO,769
701,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8032505411021,AUT MQ,PESTO GENOVESE BASIL,0,180,POT,PESTO,PF,1CT,STD,8032505411021,1329.8000000000004,1463.5,95.4,99.0,92.0,88.9,91.4,96.3,115.0,110.7,118.6,113.4,105.7,106.2,97.2,99.7,97.3,111.1,108.4,95.2,106.2,118.4,103.4,140.4,134.2,113.2,121.3,114.7,8032505411021.0,180.0,FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO GENOVESE BASIL 1CT 180G * NON BIO,770
702,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8001770061033,AUT MQ,PESTO OLIV,0,190,POT,PESTO,PF,1CT,STD,8001770061033,3465.7,3909.400000000001,168.3,187.5,177.8,824.2,417.6,270.6,233.5,244.1,220.8,195.7,189.8,160.8,175.0,174.8,176.3,1144.8,326.1,282.7,242.5,238.6,244.2,250.0,234.1,210.7,199.7,184.9,8001770061033.0,190.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO OLIV 1CT 190G * NON BIO,771
703,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8001770060906,AUT MQ,PESTO OLIV,0,190,POT,PESTO,PF,1CT,STD,8001770060906,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8001770060906.0,190.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO OLIV 1CT 190G * NON BIO,772
704,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760014294709,AUT MQ,PESTO PIMENTE,0,180,POT,PESTO,PF,1CT,STD,3760014294709,458.20000000000016,341.6,30.8,32.2,34.6,32.0,32.1,39.4,37.6,41.4,40.9,35.8,32.1,34.7,34.6,30.6,30.2,24.5,31.0,27.5,27.5,28.7,34.7,31.7,26.1,20.3,14.8,14.0,3760014294709.0,180.0,POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO PIMENTE 1CT 180G * NON BIO,773
705,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8008745021771,AUT MQ,PESTO RGE,0,125,POT,PESTO,PF,1CT,STD,8008745021771,434.50000000000006,275.6,45.1,29.3,31.6,29.4,34.7,36.6,33.4,24.0,32.9,46.6,29.3,28.6,33.0,42.9,29.3,32.4,31.6,32.0,28.7,21.9,15.6,13.3,8.3,7.3,6.4,5.9,8008745021771.0,125.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 125G * NON BIO,774
706,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760172955283,AUT MQ,PESTO RGE,0,130,POT,PESTO,PF,1CT,STD,3760172955283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3760172955283.0,130.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 130G * NON BIO,775
707,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8001010024330,AUT MQ,PESTO RGE,0,135,POT,PESTO,PF,1CT,STD,8001010024330,308.6,376.0,4.9,23.8,15.3,6.8,30.0,47.8,20.5,36.2,20.4,53.3,13.2,24.2,12.2,8.9,42.0,48.3,9.7,8.4,80.7,21.3,36.3,18.4,45.4,39.3,8.0,9.3,8001010024330.0,135.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 135G * NON BIO,776
708,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,80280651,AUT MQ,PESTO RGE,0,170,POT,PESTO,PF,1CT,STD,0000080280651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80280651.0,170.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 170G * NON BIO,777
709,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8032615270440,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,8032615270440,3.5,6.100000000000001,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.5,0.7,0.0,0.2,0.5,0.5,0.5,0.5,0.9,0.4,0.8,0.2,0.4,1.1,0.2,0.2,0.0,0.5,0.4,8032615270440.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,778
710,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3446000004018,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,3446000004018,104.6,128.4,5.9,8.3,5.4,32.2,5.8,1.1,0.7,24.8,7.2,4.1,3.1,1.3,4.7,2.3,3.1,9.4,9.5,2.3,7.2,11.2,52.4,5.2,3.6,16.6,2.2,3.4,3446000004018.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,779
711,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8003979002091,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,8003979002091,106.2,5.3,9.2,17.3,13.1,11.7,12.8,13.5,8.5,8.6,5.6,2.5,1.4,0.9,1.1,1.8,0.2,1.3,0.2,0.2,0.2,0.2,0.4,0.0,0.0,0.4,0.0,0.4,8003979002091.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,780
712,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760014294525,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,3760014294525,1131.8000000000004,1304.3999999999996,70.2,79.2,71.6,59.8,75.6,210.1,105.7,98.6,84.2,81.4,67.4,66.1,61.9,71.6,53.8,74.5,70.8,65.2,60.5,141.4,105.3,211.7,139.7,96.9,96.5,116.5,3760014294525.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,781
713,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8013945930372,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,8013945930372,891.1000000000001,60.50000000000001,80.6,95.6,105.1,104.4,99.5,97.7,103.1,81.7,55.6,24.3,18.5,13.1,11.9,5.0,2.9,4.0,2.7,5.6,8.6,9.0,7.4,7.0,3.4,2.5,1.3,1.1,8013945930372.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,782
714,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3700463718029,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,3700463718029,25.4,4.0,3.6,5.0,4.3,1.8,1.8,2.9,1.3,1.3,0.7,0.9,0.7,0.9,0.2,0.2,0.4,0.7,0.7,0.4,0.7,0.5,0.0,0.2,0.2,0.0,0.0,0.0,3700463718029.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,783
715,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3302768000443,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,3302768000443,4266.200000000002,1490.6,83.3,199.1,290.2,285.3,313.2,363.8,346.5,356.0,421.2,424.3,371.2,373.5,438.6,366.0,285.3,211.7,144.1,96.8,70.2,56.5,43.5,47.0,43.9,39.2,43.5,42.9,3302768000443.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,784
716,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760275810564,AUT MQ,PESTO RGE,0,180,POT,PESTO,PF,1CT,STD,3760275810564,368.4,1002.3000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.5,27.5,45.4,64.4,86.2,64.1,78.3,79.2,81.2,107.6,84.6,88.2,79.0,79.2,85.9,77.9,60.0,67.0,45.4,67.1,3760275810564.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 180G * NON BIO,785
717,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8008745020316,AUT MQ,PESTO RGE,0,185,POT,PESTO,PF,1CT,STD,8008745020316,9.1,0.6,3.9,1.7,1.3,0.9,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,8008745020316.0,185.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF PESTO RGE 1CT 185G * NON BIO,786
