N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
SACLA | LEGUMES | POIV_FIG_NOIS | POT | NON_BIO,1,1.0,0,264952.10000000003,322902.8
HEINZ | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,2,2.0,0,258816.19999999998,77441.5
RUMMO | PESTO | PESTO_RGE | POT | NON_BIO,1,1.0,0,256569.5,210125.7
FLORELLI | PESTO | PESTO_RGE | POT | NON_BIO,2,2.0,0,256361.2,276407.6
RUMMO | PESTO | PESTO_VERD | POT | NON_BIO,1,1.0,0,249010.5,174272.6
AUT_MQ | SCE_CLAS | CURRY_INDIENNE_TIKKA_MASALA_EP | POT | NON_BIO,1,1.0,0,246434.20000000004,225806.6
MDD | SAUCES_POUR_FECULENTS |  | DOY_PAC | ,1,0.0,1,241084.2,333957.10000000003
FLORELLI | PESTO | LE_PESTO_ALLA_CALABRESE_POIVRO | POT | NON_BIO,1,1.0,0,234273.9,208230.8
SACLA | BIO | TOM_SECH_AIL | POT | BIO,1,1.0,0,233746.1,242230.4
PANZANI | BOLO_ORIGINALE | BOLOGNAISE_EMMENTAL | POT | NON_BIO,3,2.0,1,217423.6,861428.1
MQ_FAB_1_PRX | LEGUMES | NAPOLITAIN | POT | NON_BIO,1,1.0,0,214375.8,233963.60000000003
FLORELLI | PESTO | LE_PESTO_ALLA_CALABRESE_TOMATE | POT | NON_BIO,1,1.0,0,209231.6,189246.00000000003
SACLA | BIO | OLIVE | POT | BIO,2,2.0,0,208331.3,92653.2
RUMMO | LEGUMES | BASILIC | POT | NON_BIO,1,1.0,0,206991.7,187560.2
PANZANI | QUALITE_FRAICHEMENT_CUISINEE | PIMENT_D'ESPELETTE | POT | NON_BIO,1,1.0,0,205549.0,227659.0
LUCIEN_GEORGELIN | LEGUMES | PIMENT_D'ESPELETTE | POT | NON_BIO,2,2.0,0,194007.90000000002,108146.09999999998
BARILLA | PESTO | PESTO_TOM_SECHE | POT | NON_BIO,1,1.0,0,190485.5,223772.70000000004
AUT_MQ | SCE_CLAS | AJI_PANCA_CHILI | POT | NON_BIO,2,2.0,0,186040.3,383806.50000000006
ZAKIA | LEGUMES | TOMATE_PIMENTE | TUB | NON_BIO,1,1.0,0,182191.4,110804.6
ZAPETTI_BUITONI | LEGUMES | TOMATE_CUI | BRIC | NON_BIO,1,1.0,0,182167.2,321060.9
SACLA | LEGUMES | CAVIAR_DE_TOMATES_A_L'AIL | POT | NON_BIO,2,2.0,0,179058.20000000004,10123.9
ITALIANS_DO_IT_BETTER | SCE_CLAS | PESTO_ROSSO_TOMATES_SECHEES_AU | POT | NON_BIO,1,1.0,0,178920.5,127766.3
SACLA | PESTO | PESTO_ROSSO_PECORINO_ROMANO_& | POT | NON_BIO,1,1.0,0,177075.7,71605.1
ITALIANS_DO_IT_BETTER | LEGUMES | AUBERGINE | POT | NON_BIO,2,2.0,0,174805.90000000002,134723.19999999998
LUCIEN_GEORGELIN | LEGUMES | BASILIC | POT | NON_BIO,4,3.0,1,171536.09999999998,136987.6
HEINZ | LEGUMES | ARRABIATA | POT | NON_BIO,6,5.0,1,170521.1,648434.3999999999
SACLA | BIO | PARMESAN | POT | BIO,1,1.0,0,168235.49999999994,379262.2
LUCIEN_GEORGELIN | LEGUMES | AIL_OIGNON | POT | NON_BIO,2,2.0,0,166550.69999999998,83741.09999999999
