N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
"JARDIN BIO, BIO, TOMATE CUI, POT, ",1,1.0,0,22838.7,0.0
"AUT MQ, SCE CLAS, AJI PANCA CHILI, POT, ",2,2.0,0,22061.100000000006,49547.6
"FLORELLI, PESTO, PESTO RGE, POT, ",2,2.0,0,21767.8,23712.7
"ZAPETTI BUITONI, LEGUMES, TOMATE CUI, DOY PAC, ",1,1.0,0,21583.2,13926.199999999995
"HEINZ, LEGUMES, MEDITERRAN, POT, ",4,4.0,0,21393.4,74569.40000000001
"SACLA, BIO, ARRABIATA, POT, ",2,2.0,0,21239.9,18922.3
"AUT MQ, PESTO, PESTO VERD, POT, ",47,24.0,23,21023.800000000003,24861.899999999998
"SACLA, LEGUMES, TOMATES CERISES EN RONDELLES P, POT, ",1,1.0,0,20880.800000000007,23105.7
"FLORELLI, PESTO, LE PESTO ALLA CALABRESE POIVRO, POT, ",1,1.0,0,19682.6,17717.899999999998
"AUT MQ, SCE CLAS, CRANBERRY BBQ, POT, ",1,1.0,0,19477.2,44847.00000000001
"ZAPETTI BUITONI, BOLO CLASSIQUE, BOLOGNAISE, POT, ",10,4.0,6,19123.6,115432.8
"SACLA, LEGUMES, CAVIAR DE TOMATES A L'AIL, POT, ",2,2.0,0,19006.0,1481.6999999999996
"RUMMO, PESTO, PESTO RGE, POT, ",1,1.0,0,18960.6,15942.6
"SACLA, LEGUMES, TOM ROQUET, POT, ",1,1.0,0,18906.0,18801.8
"SACLA, BIO, PARMESAN, POT, ",1,1.0,0,18864.5,46585.2
"PANZANI, LEGUMES, TOM CUI A L'ORIGAN, TUB, ",1,1.0,0,18628.1,2111.9
"RUMMO, PESTO, PESTO VERD, POT, ",1,1.0,0,18103.3,14635.2
"AUT MQ, LEGUMES, BASILIC, BTE FER, ",1,1.0,0,17683.7,16909.600000000002
"RUMMO, LEGUMES, ARRABIATA, POT, ",1,1.0,0,17549.6,16422.100000000002
"FLORELLI, PESTO, LE PESTO ALLA CALABRESE TOMATE, POT, ",1,1.0,0,17485.100000000002,16343.9
"AUT MQ, LEGUMES, TOMATE CUI, POT, ",5,3.0,2,17169.6,23155.199999999997
"SACLA, PESTO, PESTO TRUFFE NR, POT, ",1,1.0,0,17051.3,15615.499999999998
"SACLA, BIO, TOM SECH AIL, POT, ",1,1.0,0,16936.8,17739.5
"SACLA, BIO, BASILIC, POT, ",1,1.0,0,16796.7,17229.0
"ITALIANS DO IT BETTER, PESTO, PARMIGIANO REGGIANO & PESTO BA, POT, ",1,1.0,0,16224.6,12112.4
"SACLA, LEGUMES, BURRATA, POT, ",1,1.0,0,16095.7,16968.8
"LUCIEN GEORGELIN, BIO, NATURE, POT, ",1,1.0,0,16037.600000000002,1537.8
"LUCIEN GEORGELIN, BIO, BASILIC, POT, ",1,1.0,0,15888.1,1628.4
"SACLA, BIO, OLIVE, POT, ",2,2.0,0,15831.5,6823.2
"RUMMO, BOLO CLASSIQUE, BOLOGNAISE, POT, ",1,1.0,0,15400.700000000004,13693.6
"BARILLA, PESTO, PESTO TOM SECHE, POT, ",1,1.0,0,14894.999999999998,17441.8
"FLORELLI, LEGUMES, ARRABIATA, POT, ",2,2.0,0,14884.199999999999,18077.6
"SACLA, BIO, BOLOGNAISE, POT, ",1,1.0,0,14729.1,21735.8
"AUT MQ, LEGUMES, OLIVE, POT, ",11,7.0,4,14668.400000000001,13612.7
"SACLA, LEGUMES, POIV FIG NOIS, POT, ",1,1.0,0,14579.1,17704.800000000007
"PANZANI, PESTO, PIGNONS ENTIER, POT, ",1,1.0,0,14048.8,34842.0
"HEINZ, PESTO, PESTO RGE, POT, ",3,2.0,1,13213.5,52605.5
"AUT MQ, LEGUMES, MARINARA, POT, ",4,2.0,2,13033.400000000001,2343.2999999999997
"JARDIN BIO, BIO, BASILIC PROTEINES DE SOJA, POT, ",1,1.0,0,12757.999999999998,10943.099999999997
"CIRIO, LEGUMES, BASILIC, POT, ",1,1.0,0,12440.3,16531.6
"VICTORIA, PESTO, PESTO VERD, POT, ",1,1.0,0,12215.0,7440.5999999999985
"LUCIEN GEORGELIN, BIO, AIL OIGNON, POT, ",1,1.0,0,12029.9,1616.4
"CIRIO, LEGUMES, ARRABIATA, POT, ",1,1.0,0,11871.2,16159.6
"RUMMO, BOLO VEGETARIENNE, BOLOGNESE VEGETALE, POT, ",1,1.0,0,11689.8,5670.7
"SACLA, PESTO, PESTO ROSSO PECORINO ROMANO &, POT, ",1,1.0,0,11540.7,4785.9000000000015
"ZAPETTI BUITONI, BIO, NATURE, BTE FER, ",1,1.0,0,11352.100000000002,0.0
"FLORELLI, LEGUMES, PARMESAN, POT, ",1,1.0,0,11200.399999999998,10147.6
"BARILLA, PESTO, PESTO RUSTICO LEGUMES MEDITERA, POT, ",1,1.0,0,11106.0,24147.6
"AUT MQ, BIO, ARRABIATA, POT, ",9,8.0,1,10929.800000000001,10020.300000000003
"RIVOIRE & CARRET, PESTO, PESTO VERT, POT, ",1,1.0,0,10873.6,5278.9
"SACLA, LEGUMES, TOMATES CERISES EN RONDELLES R, POT, ",1,1.0,0,10809.4,9517.1
"PANZANI, LEGUMES, NAPOLITAIN, POT, ",1,1.0,0,10594.7,49873.1
"JARDIN BIO, BIO, AIL & PERSIL PROTEINES DE SOJA, POT, ",1,1.0,0,10506.0,10388.2
"FLORELLI, LEGUMES, TOM CERISE, POT, ",1,1.0,0,10400.1,10739.600000000002
"SACLA, LEGUMES, POIV MOZZA, POT, ",1,1.0,0,10386.5,9127.4
"AUT MQ, BIO, BASILIC, POT, ",12,9.0,3,10217.700000000004,3288.5000000000005
"AUT MQ, PESTO, PESTO RGE, POT, ",20,14.0,6,10183.1,13165.500000000002
"CIRIO, BOLO CLASSIQUE, RAGU BOLOGNESE, POT, ",1,1.0,0,10175.9,17344.8
"SACLA, BIO, PESTO GENOVESE TOFU, POT, ",1,1.0,0,10052.4,10811.8
"FLORELLI, LEGUMES, BASILIC, POT, ",2,2.0,0,10024.4,14739.899999999996
"ZAPETTI BUITONI, BIO, BOLOGNAISE, BTE FER, ",1,1.0,0,9945.1,0.0
"BARILLA, PESTO, PESTO RUSTICO MEDITERRANEO, POT, ",1,1.0,0,9936.399999999998,0.0
"SACLA, LEGUMES, SALSICCIA, POT, ",1,1.0,0,9917.8,5737.500000000001
"FLORELLI, LEGUMES, TOM SECHE, POT, ",2,2.0,0,9879.8,16114.2
"FLORELLI, LEGUMES, AUBER RICO, POT, ",2,2.0,0,9770.599999999999,11631.3
"AUT MQ, SCE CLAS, HARISSA & PIMENTS, FLA PLAS, ",1,1.0,0,9467.5,10632.8
"LUCIEN GEORGELIN, BIO, PIMENT D'ESPELETTE, POT, ",1,1.0,0,9381.3,1276.1999999999996
"CIRIO, LEGUMES, NAPOLITAIN, POT, ",1,1.0,0,9365.3,11697.200000000004
"AUT MQ, SCE CLAS, CURRY INDIENNE BUTTER CHICKEN, POT, ",2,2.0,0,9084.0,0.0
"AUT MQ, SCE CLAS, PESTO ORANGE, POT, ",1,1.0,0,8746.599999999999,9303.9
"UNC BENS, SCE CLAS, TIKKA MASALA, POT, ",1,1.0,0,8629.800000000001,0.0
"FLORELLI, LEGUMES, MASCARPONE, POT, ",2,2.0,0,8354.2,11897.9
"MQ FAB 1 PRX, PESTO, PESTO VERD, POT, ",1,1.0,0,8345.099999999999,8913.0
"JARDIN BIO, BIO, TOMATE CUISINEE AUX LEGUMES, TUB, ",1,1.0,0,8235.6,2322.5000000000005
"ITALIANS DO IT BETTER, LEGUMES, AUBERGINE, POT, ",2,2.0,0,7952.199999999999,6052.2
"SACLA, BOLO CLASSIQUE, BOLOGNAISE, POT, ",3,3.0,0,7915.9000000000015,11901.400000000001
"DE CECCO, LEGUMES, ARRABIATA, POT, ",3,3.0,0,7810.3,8500.699999999999
"AUT MQ, SCE CLAS, BEURRE CITRON A LA CREME FRAIC, DOY PAC, ",1,1.0,0,7617.8,4300.8
"SACLA, BIO, PESTO TOM SECHE, POT, ",1,1.0,0,7349.9,7109.3
"BJORG, BIO, BOLOGNESE VEGETALE, POT, ",1,1.0,0,7259.9000000000015,13308.6
"SACLA, LEGUMES, TOMATES CERISES EN RONDELLES O, POT, ",1,1.0,0,7256.500000000001,11864.3
